subject	qid	answer_idx	hippo_pick	blend_pick	hippo_correct	blend_correct	agree	outcome	hippo_net_correct	blend_net_correct	hippo_net_picked	blend_net_picked	hippo_pos	hippo_neg	hippo_slope	blend_pos	blend_neg	blend_slope	word_count	unique_ratio	avg_word_len
sociology	0	2	1	2	0	1	0	blend_wins	973	999	1017	999	2533	1560	3	2533	1534	29	5	1.0	5.8
sociology	1	0	2	2	0	0	1	both_wrong	-164	904	946	967	796	960	2340	2499	1595	2	8	1.0	6.62
sociology	2	1	3	3	0	0	1	both_wrong	929	-153	948	992	2512	1583	1	800	953	2343	6	1.0	5.67
sociology	3	3	2	2	0	0	1	both_wrong	-114	958	947	989	818	932	2346	2527	1569	0	10	0.9	5.7
sociology	4	3	1	3	0	1	0	blend_wins	956	1003	1052	1003	2525	1569	2	2525	1522	49	9	1.0	5.56
sociology	5	1	1	0	1	0	0	hippo_wins	1020	-128	1020	948	2549	1529	18	827	955	2314	16	0.9375	6.38
sociology	6	3	1	1	0	0	1	both_wrong	-106	-111	997	1002	843	949	2304	840	951	2305	11	0.9091	4.55
sociology	7	1	1	3	1	0	0	hippo_wins	980	964	980	986	2522	1542	32	2516	1552	28	8	0.875	3.62
sociology	8	0	1	0	0	1	0	blend_wins	-138	973	934	973	801	939	2356	2515	1542	39	12	0.9167	5.17
sociology	9	2	0	2	0	1	0	blend_wins	-98	1042	1008	1042	858	956	2282	2550	1508	38	7	1.0	6.0
sociology	10	1	0	3	0	0	0	both_wrong	-110	917	949	977	804	914	2378	2490	1573	33	18	0.9444	3.94
sociology	11	3	2	2	0	0	1	both_wrong	862	-159	992	988	2479	1617	0	796	955	2345	7	1.0	6.57
sociology	12	0	0	1	1	0	0	hippo_wins	896	-147	896	958	2494	1598	4	781	928	2387	14	1.0	5.29
sociology	13	0	2	0	0	1	0	blend_wins	-129	979	981	979	816	945	2335	2522	1543	31	6	1.0	7.33
sociology	14	0	2	3	0	0	0	both_wrong	-128	966	969	972	819	947	2330	2514	1548	34	8	1.0	5.0
sociology	15	0	2	1	0	0	0	both_wrong	948	-137	973	986	2522	1574	0	832	969	2295	18	1.0	5.06
sociology	16	0	1	0	0	1	0	blend_wins	-87	1029	996	1029	837	924	2335	2561	1532	3	19	0.9474	5.89
sociology	17	0	0	0	1	1	1	both_right	1019	1009	1019	1009	2544	1525	27	2536	1527	33	3	1.0	4.0
sociology	18	0	1	1	0	0	1	both_wrong	-137	-131	932	964	839	976	2281	831	962	2303	22	1.0	5.45
sociology	19	0	1	1	0	0	1	both_wrong	971	953	991	994	2533	1562	1	2510	1557	29	9	1.0	5.67
sociology	20	2	2	2	1	1	1	both_right	946	928	946	928	2520	1574	2	2512	1584	0	12	0.9167	5.08
sociology	21	2	1	3	0	0	0	both_wrong	938	956	983	985	2517	1579	0	2509	1553	34	11	1.0	6.0
sociology	22	1	1	0	1	0	0	hippo_wins	994	1012	994	1013	2524	1530	42	2526	1514	56	30	0.9333	5.83
sociology	23	3	2	2	0	0	1	both_wrong	-163	925	963	1018	811	974	2311	2484	1559	53	8	1.0	5.0
sociology	24	2	2	2	1	1	1	both_right	952	979	952	979	2514	1562	20	2526	1547	23	7	1.0	6.0
sociology	25	2	1	2	0	1	0	blend_wins	-132	974	933	974	835	967	2294	2534	1560	2	7	1.0	6.0
sociology	26	0	3	3	0	0	1	both_wrong	-165	968	1018	1001	819	984	2293	2532	1564	0	11	1.0	4.91
sociology	27	0	1	1	0	0	1	both_wrong	932	977	946	1001	2514	1582	0	2516	1539	41	9	0.8889	4.11
sociology	28	0	0	2	1	0	0	hippo_wins	927	-166	927	976	2510	1583	3	800	966	2330	11	0.9091	3.73
sociology	29	1	3	2	0	0	0	both_wrong	-132	-141	968	1002	823	955	2318	833	974	2289	16	0.875	4.06
sociology	30	3	3	3	1	1	1	both_right	983	1006	983	1006	2539	1556	1	2551	1545	0	15	1.0	5.07
sociology	31	2	1	2	0	1	0	blend_wins	903	934	942	934	2499	1596	1	2501	1567	28	11	1.0	5.36
sociology	32	1	3	0	0	0	0	both_wrong	959	953	974	980	2520	1561	15	2504	1551	41	14	0.8571	5.21
sociology	33	0	1	0	0	1	0	blend_wins	-135	933	923	933	814	949	2333	2499	1566	31	14	0.8571	4.36
sociology	34	0	1	1	0	0	1	both_wrong	933	-147	977	999	2514	1581	1	824	971	2301	10	1.0	4.8
sociology	35	0	1	1	0	0	1	both_wrong	-109	940	949	984	846	955	2295	2490	1550	56	8	1.0	6.0
sociology	36	0	3	2	0	0	0	both_wrong	-151	898	894	938	800	951	2345	2494	1596	6	4	1.0	6.25
sociology	37	3	2	0	0	0	0	both_wrong	-107	-97	946	1005	862	969	2265	864	961	2271	6	1.0	5.5
sociology	38	1	1	3	1	0	0	hippo_wins	-118	949	-118	996	840	958	2298	2498	1549	49	12	0.8333	4.17
sociology	39	3	0	1	0	0	0	both_wrong	-115	930	989	1003	833	948	2315	2496	1566	34	12	1.0	4.42
sociology	40	0	2	2	0	0	1	both_wrong	-137	901	972	932	838	975	2283	2483	1582	31	11	0.8182	3.55
sociology	41	1	1	3	1	0	0	hippo_wins	992	1002	992	1011	2542	1550	4	2548	1546	2	8	0.875	6.5
sociology	42	2	0	1	0	0	0	both_wrong	923	-159	953	993	2509	1586	1	810	969	2317	21	0.8571	4.19
sociology	43	3	3	0	1	0	0	hippo_wins	1027	-156	1027	982	2550	1523	23	797	953	2346	9	1.0	6.0
sociology	44	0	1	1	0	0	1	both_wrong	916	-128	975	1042	2506	1590	0	832	960	2304	8	1.0	7.0
sociology	45	0	2	2	0	0	1	both_wrong	-153	946	-134	991	820	973	2303	2520	1574	2	10	0.9	3.3
sociology	46	1	1	1	1	1	1	both_right	994	1016	994	1016	2530	1536	30	2535	1519	42	13	0.9231	6.15
sociology	47	1	1	2	1	0	0	hippo_wins	988	952	988	978	2541	1553	2	2524	1572	0	12	1.0	5.08
