iteration	timestamp	score	avg_correlation	convergence_ratio	median_ticks	alive_fraction	elapsed_s	improved	commit	changed	notes
1	2026-03-16T06:46:56.335926+00:00	0.012844	0.01474	1.0	40.0	1.0	0.09		6c1aeec0	baseline	initial benchmark after constants.py refactor
2	2026-03-17T02:40:22.627711+00:00	0.012844	0.01474	1.0	40.0	1.0	0.09	0			
3	2026-03-17T02:43:35.925129+00:00	0.012844	0.01474	1.0	40.0	1.0	0.09	0	9595fd00	MAX_PUSH_STRENGTH	softer push — testing if gentler dynamics improve attractor diversity
4	2026-03-17T02:44:15.534630+00:00	0.012844	0.01474	1.0	40.0	1.0	0.09	0	2792abbc	MAX_PUSH_STRENGTH	sharper push — testing tighter attractor basins
5	2026-03-17T02:44:35.818497+00:00	0.012844	0.01474	1.0	40.0	1.0	0.09	0	c94733dc	MAX_PUSH_STRENGTH	stronger push — near upper safe range
6	2026-03-17T02:44:53.649171+00:00	0.012844	0.01474	1.0	40.0	1.0	0.08	0	739ad471	MAX_PUSH_STRENGTH	very soft push — testing lower bound of safe range
7	2026-03-17T02:59:18.347209+00:00	0.012844	0.01474	1.0	40.0	1.0	0.09	0			
8	2026-03-17T03:05:41.869439+00:00	0.013035	0.014809	1.0	41.5	1.0	0.08	0	e498e907	MAX_PUSH_STRENGTH	Testing lower push strength (0.30): may produce weaker attractors but softer dynamics
9	2026-03-17T03:07:07.287323+00:00	0.012921	0.014868	1.0	40.0	1.0	0.08	1	30f9acf4	MAX_PUSH_STRENGTH	Testing higher push strength (0.40): sharper attractors, stronger local forces
10	2026-03-17T03:07:21.323307+00:00	0.012901	0.014836	1.0	40.0	1.0	0.08	1	be64abc2	MAX_PUSH_STRENGTH	Testing even higher push strength (0.45): very sharp attractors
11	2026-03-17T03:07:32.170330+00:00	0.013454	0.014923	1.0	45.0	1.0	0.09	0	59c14d15	MAX_PUSH_STRENGTH	Testing very low push strength (0.25): weak local forces, diffuse dynamics
12	2026-03-17T03:09:01.717975+00:00	0.015959	0.014766	1.0	71.0	1.0	0.12	0	4ff8af8c	SLOPE_FLOW_STRENGTH	Experiment 1: Lower slope flow strength (0.10) to see if slower mixing improves attractor quality
13	2026-03-17T03:09:12.954243+00:00	0.014048	0.014913	1.0	51.0	1.0	0.1	1	c0ce6aed	SLOPE_FLOW_STRENGTH	Experiment 2: Reduced slope flow strength (0.15) to dampen mixing rate
14	2026-03-17T03:09:31.093159+00:00	0.012265	0.014941	1.0	33.0	1.0	0.08	1	fac71219	SLOPE_FLOW_STRENGTH	Experiment 3: Increased slope flow strength (0.25) to accelerate mixing
15	2026-03-17T03:09:50.162323+00:00	0.011708	0.014846	1.0	28.0	1.0	0.08	1	a820d830	SLOPE_FLOW_STRENGTH	Experiment 4: Further increased slope flow strength (0.30) for even faster mixing
16	2026-03-17T03:10:43.383413+00:00	0.01203	0.014884	1.0	31.0	1.0	0.08	0	a01b80ec	SALIENCE_THRESHOLD_MED	Testing lower threshold (5e-5) for finer CA convergence sensitivity
17	2026-03-17T03:10:58.408283+00:00	0.011132	0.014887	1.0	22.0	1.0	0.08	1	67b6b073	SALIENCE_THRESHOLD_MED	Testing higher threshold (5e-4) for coarser CA convergence detection
18	2026-03-17T03:11:06.161378+00:00	0.011451	0.014835	1.0	25.5	1.0	0.08	0	d6716ced	SALIENCE_THRESHOLD_MED	Testing midpoint threshold (2e-4) between current and upper bound
19	2026-03-17T03:11:19.536315+00:00	0.012266	0.01461	1.0	35.0	1.0	0.09	0	1e54a073	SALIENCE_THRESHOLD_MED	Testing very low threshold (2e-5) for extreme CA convergence sensitivity
20	2026-03-17T03:21:18.126200+00:00	0.01098	0.014966	1.0	20.0	1.0	0.08	1	3cfc73ba	SLOPE_FLOW_STRENGTH	tier-2: past safe-range ceiling, 0.30→0.35
21	2026-03-17T03:21:52.716043+00:00	0.01077	0.014783	1.0	19.0	1.0	0.08	1	fc0dd0d1	SLOPE_FLOW_STRENGTH	tier-2: continuing upward trend, 0.35→0.40
22	2026-03-17T03:22:42.838892+00:00	0.010564	0.014607	1.0	18.0	1.0	0.08	1	e811db14	SLOPE_FLOW_STRENGTH	tier-2: diminishing returns check, 0.40→0.45
23	2026-03-17T03:24:10.846320+00:00	0.010439	0.014399	1.0	18.0	1.0	0.08	1	0eb3b2b	SLOPE_FLOW_STRENGTH	Test 0.50: search for plateau/cliff after 0.45 baseline
24	2026-03-17T03:24:28.325543+00:00	0.010445	0.014241	1.0	19.0	1.0	0.08	0	5fa1919	SLOPE_FLOW_STRENGTH	Test 0.55: continuing plateau search
25	2026-03-17T03:25:26.146358+00:00	0.010724	0.014456	1.0	20.5	1.0	0.08	0	9e535b5e	MAX_PUSH_STRENGTH	cross-param: re-test push with SLOPE=0.50, trying 0.40
26	2026-03-17T03:26:03.616961+00:00	0.010367	0.014445	1.0	17.0	1.0	0.08	1	f81f0fee	MAX_PUSH_STRENGTH	cross-param: re-test push with SLOPE=0.50, trying 0.50
27	2026-03-17T03:28:21.481588+00:00	0.010261	0.014518	1.0	15.5	1.0	0.08	1	39d35367	MAX_PUSH_STRENGTH	cross-param: following diagonal trend, 0.50→0.55
28	2026-03-17T03:28:45.511483+00:00	0.010361	0.014768	1.0	15.0	1.0	0.08	0	779c33c1	MAX_PUSH_STRENGTH	cross-param: diagonal trend, 0.55→0.60
29	2026-03-17T03:29:36.448209+00:00	0.024211	0.014518	1.0	15.5	1.0	0.08	0	f7567015	SALIENCE_MAX_ITERS_MED	iter cap reduction: median ticks=15, cap was 50x wasteful
30	2026-03-17T04:12:17.093130+00:00	0.010067	0.014445	1.0	14.0	1.0	0.08	1	b73060f2	SLOPE_FLOW_STRENGTH	cross-param: SLOPE 0.50→0.55 with MAX_PUSH=0.55 baseline
31	2026-03-17T04:12:37.308576+00:00	0.010099	0.014332	1.0	15.0	1.0	0.08	0	7e9538d2	SLOPE_FLOW_STRENGTH	continuing upward trend past 0.55
32	2026-03-17T04:13:00.931651+00:00	0.010052	0.014419	1.0	14.0	1.0	0.08	1	3747ce3b	MAX_PUSH_STRENGTH	fine-tune between 0.55 and 0.60 with new SLOPE=0.55 baseline
33	2026-03-17T04:13:21.948826+00:00	0.010056	0.014427	1.0	14.0	1.0	0.08	0	8a34edfe	MAX_PUSH_STRENGTH	fine-tune 0.57→0.58 with SLOPE=0.55
34	2026-03-17T04:13:45.194376+00:00	0.010115	0.014525	1.0	14.0	1.0	0.08	0	4192c18d	SLOPE_FLOW_STRENGTH	symmetric fine-tune: both params at 0.57
35	2026-03-17T04:14:17.148110+00:00	0.00994	0.014567	1.0	12.0	1.0	0.08	1	eaf17b38	SALIENCE_THRESHOLD_MED	coarser convergence threshold to reduce median ticks further
36	2026-03-17T04:14:31.510841+00:00	0.009851	0.014576	1.0	11.0	0.9999	0.08	1	332f0668	SALIENCE_THRESHOLD_MED	push threshold higher — ticks hit 12, can we go lower?
37	2026-03-17T04:14:46.486583+00:00	0.009682	0.014562	1.0	9.0	0.9995	0.08	1	3422c5aa	SALIENCE_THRESHOLD_MED	bigger jump to find where quality starts degrading
38	2026-03-17T04:15:01.643179+00:00	0.009534	0.014482	1.0	8.0	0.9995	0.07	1	752915fe	SALIENCE_THRESHOLD_MED	1e-2: looking for convergence quality to break down
39	2026-03-17T04:15:12.155729+00:00	0.009282	0.014303	1.0	5.0	0.998	0.07	1	a2615537	SALIENCE_THRESHOLD_MED	large jump — force quality degradation to find ceiling
40	2026-03-17T04:15:29.819958+00:00	0.009283	0.014113	1.0	4.0	0.9958	0.08	0	5b998151	SALIENCE_THRESHOLD_MED	alive_fraction at 0.998 — pushing to find where convergence breaks
